,content,polygon,spans
144,8.5 Terminal Outturn report,"[8.6793, 2.2814, 10.185, 2.2814, 10.185, 2.4133, 8.6793, 2.4082]","[{'offset': 2857, 'length': 27}]"
145,54,"[10.8187, 2.2713, 10.9505, 2.2713, 10.9556, 2.3828, 10.8187, 2.3828]","[{'offset': 2885, 'length': 2}]"
146,8.6 Port Revenue Offices,"[8.6793, 2.4031000000000002, 10.0278, 2.4031000000000002, 10.0278, 2.5349, 8.6793, 2.5248]","[{'offset': 2888, 'length': 24}]"
147,36,"[8.4207, 2.2814, 8.583, 2.2814, 8.583, 2.4031000000000002, 8.4207, 2.398]","[{'offset': 2913, 'length': 2}]"
148,39,"[8.4207, 2.5197000000000003, 8.5374, 2.5197000000000003, 8.5424, 2.6363, 8.4258, 2.6313]","[{'offset': 2916, 'length': 2}]"
149,54,"[10.8187, 2.5045, 10.9556, 2.5045, 10.9556, 2.6262, 10.8238, 2.6211]","[{'offset': 2919, 'length': 2}]"
150,40,"[8.4258, 2.6363, 8.5424, 2.6414, 8.5424, 2.7529, 8.4258, 2.7479]","[{'offset': 2922, 'length': 2}]"
151,SECTION 7,"[6.4385, 2.9862, 7.0976, 2.9912, 7.0925, 3.1129, 6.4385, 3.1078]","[{'offset': 2925, 'length': 9}]"
152,"CARGO DUES ON IMPORTS,","[6.4385, 3.2244, 7.9188, 3.2244, 7.9188, 3.3512, 6.4385, 3.3461]","[{'offset': 2935, 'length': 22}]"
153,"EXPORTS, TRANSHIPMENTS AND","[6.4385, 3.341, 8.2028, 3.341, 8.2028, 3.4678, 6.4385, 3.4678]","[{'offset': 2958, 'length': 26}]"
154,COASTWISE,"[6.4334, 3.4627, 7.1026, 3.4627, 7.1026, 3.5793, 6.4334, 3.5844]","[{'offset': 2985, 'length': 9}]"
155,7.1 Breakbulk,"[6.4486, 3.701, 7.2395, 3.701, 7.2395, 3.8176, 6.4486, 3.8176]","[{'offset': 2995, 'length': 13}]"
156,42,"[8.436, 3.7111, 8.5374, 3.7111, 8.5374, 3.8125, 8.436, 3.8075]","[{'offset': 3009, 'length': 2}]"
157,7.2,"[6.4486, 3.8227, 6.6514, 3.8227, 6.6464, 3.9393000000000002, 6.4486, 3.9342]","[{'offset': 3012, 'length': 3}]"
158,Dry Bulk,"[6.7072, 3.8227, 7.1685, 3.8227, 7.1685, 3.9444, 6.7072, 3.9393000000000002]","[{'offset': 3016, 'length': 8}]"
159,43,"[8.441, 3.8176, 8.5424, 3.8176, 8.5424, 3.9241, 8.436, 3.9241]","[{'offset': 3025, 'length': 2}]"
160,7.3,"[6.4486, 3.9444, 6.621, 3.9393000000000002, 6.621, 4.0559, 6.4537, 4.0508]","[{'offset': 3028, 'length': 3}]"
161,Liquid Bulk,"[6.7072, 3.9393000000000002, 7.2953, 3.9444, 7.2953, 4.066, 6.7072, 4.061]","[{'offset': 3032, 'length': 11}]"
162,44,"[8.441, 3.9444, 8.5576, 3.9393000000000002, 8.5627, 4.0508, 8.441, 4.0458]","[{'offset': 3044, 'length': 2}]"
163,7.4,"[6.4436, 4.061, 6.6311, 4.061, 6.6311, 4.1674, 6.4436, 4.1624]","[{'offset': 3047, 'length': 3}]"
164,Containers,"[6.7072, 4.061, 7.2851, 4.066, 7.2851, 4.1776, 6.7072, 4.1725]","[{'offset': 3051, 'length': 10}]"
165,44,"[8.436, 4.061, 8.5627, 4.061, 8.5627, 4.1674, 8.436, 4.1624]","[{'offset': 3062, 'length': 2}]"
166,7.5,"[6.4486, 4.1725, 6.621, 4.1725, 6.621, 4.284, 6.4486, 4.284]","[{'offset': 3065, 'length': 3}]"
167,Coastwise cargo,"[6.7072, 4.1725, 7.5741, 4.1776, 7.5741, 4.3043, 6.7072, 4.2942]","[{'offset': 3069, 'length': 15}]"
168,44,"[8.441, 4.1725, 8.5627, 4.1725, 8.5627, 4.279, 8.441, 4.2739]","[{'offset': 3085, 'length': 2}]"
169,7.6,"[6.4385, 4.2993, 6.6261, 4.2942, 6.621, 4.4057, 6.4436, 4.4006]","[{'offset': 3088, 'length': 3}]"
170,Exemptions,"[6.7173, 4.2891, 7.3409, 4.2942, 7.3409, 4.4159, 6.7173, 4.4057]","[{'offset': 3092, 'length': 10}]"
171,45,"[8.436, 4.2942, 8.5678, 4.2942, 8.5678, 4.4006, 8.436, 4.3905]","[{'offset': 3103, 'length': 2}]"
172,7.7,"[6.4436, 4.4108, 6.6464, 4.4057, 6.6464, 4.5325, 6.4436, 4.5274]","[{'offset': 3106, 'length': 3}]"
173,Transhipped cargo,"[6.7123, 4.4057, 7.6958, 4.4108, 7.6958, 4.5477, 6.7123, 4.5375]","[{'offset': 3110, 'length': 17}]"
174,46,"[8.441, 4.4159, 8.5424, 4.4159, 8.5424, 4.5122, 8.436, 4.5071]","[{'offset': 3128, 'length': 2}]"
175,7.8,"[6.4486, 4.5325, 6.6464, 4.5325, 6.6464, 4.6491, 6.4486, 4.644]","[{'offset': 3131, 'length': 3}]"
176,Late order and related fees,"[6.6818, 4.5222999999999995, 8.147, 4.5222999999999995, 8.147, 4.6541, 6.6818, 4.6541]","[{'offset': 3135, 'length': 27}]"
177,47,"[8.436, 4.5325, 8.5526, 4.5325, 8.5475, 4.644, 8.436, 4.6389]","[{'offset': 3163, 'length': 2}]"
178,7.9 Cargo conveyed by vessels,"[6.4436, 4.6389, 8.1318, 4.644, 8.1318, 4.7809, 6.4436, 4.7707]","[{'offset': 3166, 'length': 29}]"
179,permitted to service vessels,"[6.7072, 4.7606, 8.167300000000001, 4.7606, 8.167300000000001, 4.8823, 6.7072, 4.8874]","[{'offset': 3196, 'length': 28}]"
180,within and outside the port,"[6.6311, 4.8772, 8.0608, 4.8772, 8.0608, 5.0141, 6.6311, 5.0141]","[{'offset': 3225, 'length': 27}]"
181,47,"[8.4258, 4.6491, 8.5526, 4.644, 8.5526, 4.7555, 8.4258, 4.7505]","[{'offset': 3253, 'length': 2}]"
182,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7924, 3.0925, 7.9496, 0.5932000000000001, 7.9597]","[{'offset': 3256, 'length': 33}]"
183,03,"[5.0139, 7.8076, 5.2116, 7.8025, 5.2116, 7.9343, 5.0139, 7.9343]","[{'offset': 3290, 'length': 2}]"
184,Tariff Book April 2024 - March 2025,"[6.4588, 7.7873, 8.9683, 7.7873, 8.9683, 7.9394, 6.4588, 7.9445]","[{'offset': 3293, 'length': 35}]"
185,04,"[10.8288, 7.7924, 11.0316, 7.7924, 11.0367, 7.9242, 10.8339, 7.9242]","[{'offset': 3329, 'length': 2}]"
0,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8061, 0.5628000000000001, 3.7566, 0.5628000000000001, 3.7566, 0.6946, 0.8061, 0.6996]","[{'offset': 3332, 'length': 60}]"
1,LIST OF TRANSNET NATIONAL PORTS AUTHORITY FEES AT THE,"[0.654, 1.014, 5.1052, 1.014, 5.1052, 1.1661, 0.654, 1.1661]","[{'offset': 3393, 'length': 53}]"
2,SOUTH AFRICAN PORTS OF TRANSNET SOC (Ltd),"[1.1559, 1.1711, 4.6083, 1.1711, 4.6083, 1.3384, 1.1559, 1.3283]","[{'offset': 3447, 'length': 41}]"
3,Definitions,"[0.6337, 1.6325, 1.4854, 1.6325, 1.4854, 1.7897, 0.6337, 1.7846000000000002]","[{'offset': 3489, 'length': 11}]"
4,"""Act"" means the National Ports Act No. 12 of 2005.","[0.5982000000000001, 2.1547, 3.204, 2.1547, 3.204, 2.2967, 0.5982000000000001, 2.2916]","[{'offset': 3501, 'length': 50}]"
5,"""Agent"" refers to all representatives having commercial dealings with a vessel or its cargo,","[0.6033000000000001, 2.4589, 5.1914, 2.464, 5.1914, 2.6059, 0.6033000000000001, 2.6008]","[{'offset': 3552, 'length': 92}]"
6,"unless the context indicates that it refers to a particular kind of agent, and includes a ves-","[0.5932000000000001, 2.6109999999999998, 5.1914, 2.6161, 5.1914, 2.758, 0.5932000000000001, 2.7529]","[{'offset': 3645, 'length': 94}]"
7,sel's agent and a cargo agent.,"[0.5932000000000001, 2.7681, 2.1141, 2.7681, 2.1141, 2.9101, 0.5932000000000001, 2.9101]","[{'offset': 3740, 'length': 30}]"
8,"""Authority"" means Transnet National Ports Authority, a division of Transnet SOC Ltd.","[0.5982000000000001, 3.0622, 4.9075, 3.0673, 4.9075, 3.2042, 0.5982000000000001, 3.2042]","[{'offset': 3771, 'length': 84}]"
9,"""Cargo"" means any cargo, goods, wares, merchandise, and articles of every kind whatso-","[0.5932000000000001, 3.3765, 5.1812, 3.3765, 5.1812, 3.5134, 0.5932000000000001, 3.5134]","[{'offset': 3856, 'length': 86}]"
10,"ever, including animals, birds, fish, plants and containers, carried, or intended to be car-","[0.5932000000000001, 3.5286, 5.1812, 3.5286, 5.1812, 3.6654999999999998, 0.5932000000000001, 3.6654999999999998]","[{'offset': 3943, 'length': 92}]"
11,"ried, over the port infrastructure by sea.","[0.5982000000000001, 3.6757, 2.6513999999999998, 3.6807, 2.6513999999999998, 3.8176, 0.5982000000000001, 3.8176]","[{'offset': 4036, 'length': 42}]"
12,Claims for adjustment or refund of port fees,"[0.5881000000000001, 3.9798, 2.8999, 3.9798, 2.8999, 4.1218, 0.5881000000000001, 4.1218]","[{'offset': 4079, 'length': 44}]"
13,All claims related to fees raised by the Authority in terms of the Authority's Tariff Book,"[0.5932000000000001, 4.1421, 5.1964, 4.1370000000000005, 5.1964, 4.279, 0.5932000000000001, 4.279]","[{'offset': 4124, 'length': 90}]"
14,"will, for prescription purposes, be dealt with strictly in terms of the Prescription Act, Act","[0.5982000000000001, 4.2942, 5.1964, 4.2942, 5.1964, 4.4311, 0.5982000000000001, 4.4361]","[{'offset': 4215, 'length': 93}]"
15,No. 68 of 1969,"[0.5982000000000001, 4.4463, 1.3536000000000001, 4.4463, 1.3536000000000001, 4.573, 0.5982000000000001, 4.573]","[{'offset': 4309, 'length': 14}]"
16,"""Coaster"" refers to vessels carrying cargo exclusively between SA ports, on a regular","[0.5982000000000001, 4.7403, 5.1914, 4.7505, 5.1914, 4.8924, 0.5982000000000001, 4.8874]","[{'offset': 4324, 'length': 85}]"
17,"schedule. To qualify as a bonafide coaster, an application must be lodged and approved","[0.5932000000000001, 4.8975, 5.1863, 4.9026, 5.1863, 5.0445, 0.5932000000000001, 5.0395]","[{'offset': 4410, 'length': 86}]"
18,by the Authority.,"[0.5932000000000001, 5.0547, 1.4702, 5.0547, 1.4702, 5.1966, 0.5932000000000001, 5.1966]","[{'offset': 4497, 'length': 17}]"
19,"""Coastwise cargo"" means cargo moving by sea between SA ports.","[0.5932000000000001, 5.3538, 3.9442, 5.3538, 3.9442, 5.5059000000000005, 0.5932000000000001, 5.5008]","[{'offset': 4515, 'length': 61}]"
20,"""Container operator"" means any person providing international transportation of con-","[0.6033000000000001, 5.663, 5.1863, 5.663, 5.1863, 5.8101, 0.6033000000000001, 5.8101]","[{'offset': 4577, 'length': 84}]"
21,"tainerised goods, and approved by the Commissioner for the South African Revenue Ser-","[0.5881000000000001, 5.8151, 5.1812, 5.8151, 5.1812, 5.9571000000000005, 0.5881000000000001, 5.9622]","[{'offset': 4662, 'length': 85}]"
22,"vice under section 96A of the Customs and Excise Act 91 of 1964, as amended, for oper-","[0.5881000000000001, 5.9672, 5.1863, 5.9672, 5.1863, 6.1092, 0.5881000000000001, 6.1041]","[{'offset': 4748, 'length': 86}]"
23,ating containers in the Republic.,"[0.5932000000000001, 6.1193, 2.2459, 6.1193, 2.2459, 6.2613, 0.5932000000000001, 6.2664]","[{'offset': 4835, 'length': 33}]"
24,"""Entering port"" means a vessel entering the port's limits.","[0.5982000000000001, 6.4185, 3.5082, 6.4185, 3.5082, 6.5706, 0.5982000000000001, 6.5706]","[{'offset': 4869, 'length': 58}]"
25,"""passenger vessel"" means a vessel that carries more than 12 passengers.","[0.6033000000000001, 6.7277000000000005, 4.3295, 6.7277000000000005, 4.3295, 6.8747, 0.6033000000000001, 6.8697]","[{'offset': 4928, 'length': 71}]"
26,"""pleasure vessel"" means a vessel, however propelled, that is used, or intended to be","[0.6084, 7.0319, 4.9125, 7.0319, 4.9125, 7.1789, 0.6084, 7.1789]","[{'offset': 5000, 'length': 84}]"
27,"used, solely for sports and recreation and that does not carry more than 12 passengers.","[0.5932000000000001, 7.184, 5.0494, 7.1891, 5.0494, 7.331, 0.5932000000000001, 7.326]","[{'offset': 5085, 'length': 87}]"
28,05,"[5.0139, 7.8025, 5.2116, 7.8025, 5.2116, 7.9394, 5.0139, 7.9343]","[{'offset': 5173, 'length': 2}]"
29,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6971, 0.5628000000000001, 9.6628, 0.5628000000000001, 9.6628, 0.6946, 6.6971, 0.6996]","[{'offset': 5176, 'length': 60}]"
30,"""fees"" means all fees, charges and dues contemplated in Section 73 of the Act. (The fees","[6.3929, 1.2877, 11.0215, 1.2877, 11.0215, 1.4297, 6.3929, 1.4246]","[{'offset': 5237, 'length': 88}]"
31,in the Tariff Book are for the basic services only and other fees may be levied in the event,"[6.4132, 1.4449, 11.0215, 1.4449, 11.0215, 1.5869, 6.4132, 1.5869]","[{'offset': 5326, 'length': 92}]"
32,of a departure from or addition to basic services.) Fees will be raised at the time the ser-,"[6.4081, 1.597, 11.0164, 1.597, 11.0164, 1.7389999999999999, 6.4081, 1.7389999999999999]","[{'offset': 5419, 'length': 92}]"
33,"vice is performed excluding, where tariffs are adjusted annually where the actual time of","[6.4132, 1.7542, 11.0266, 1.7542, 11.0266, 1.8911, 6.4132, 1.8911]","[{'offset': 5512, 'length': 89}]"
34,vessel arrival will be used for cargo dues purposes.,"[6.4081, 1.9062999999999999, 8.9936, 1.9113, 8.9936, 2.0482, 6.4081, 2.0381]","[{'offset': 5602, 'length': 52}]"
35,"""fishing vessel"" means a vessel that is used for the purpose of catching fish or other living","[6.4233, 2.1395, 11.0215, 2.1446, 11.0215, 2.2865, 6.4233, 2.2814]","[{'offset': 5655, 'length': 93}]"
36,resources of the sea for financial gain or reward.,"[6.4182, 2.2967, 8.8821, 2.2967, 8.8821, 2.4335, 6.4182, 2.4335]","[{'offset': 5749, 'length': 50}]"
37,"""Harbour Master"" means the employee of the Authority appointed for each port as con-","[6.4182, 2.5299, 11.0215, 2.5349, 11.0215, 2.6718, 6.4182, 2.6668000000000003]","[{'offset': 5800, 'length': 84}]"
38,templated in section 74(3) of the Act.,"[6.4081, 2.682, 8.3295, 2.682, 8.3295, 2.8188, 6.4081, 2.8188]","[{'offset': 5885, 'length': 38}]"
39,"""length"" refers to the length overall (LOA) and means -","[6.4233, 2.9152, 9.2927, 2.9152, 9.2927, 3.0571, 6.4233, 3.0571]","[{'offset': 5924, 'length': 55}]"
40,i),"[6.4233, 3.0774, 6.4892, 3.0774, 6.4943, 3.1991, 6.4233, 3.1991]","[{'offset': 5980, 'length': 2}]"
41,"in the case of a registered vessel, the length shown in the certificate of registry;","[6.8035, 3.0673, 11.0215, 3.0723, 11.0215, 3.2143, 6.8035, 3.2092]","[{'offset': 5983, 'length': 84}]"
42,and,"[6.7984, 3.2396, 7.0164, 3.2396, 7.0164, 3.3461, 6.8035, 3.3461]","[{'offset': 6068, 'length': 3}]"
43,ii),"[6.4284, 3.3816, 6.5145, 3.3816, 6.5145, 3.5033, 6.4284, 3.5033]","[{'offset': 6072, 'length': 3}]"
44,in the case of a vessel licensed in terms of section 68 of the Merchant Shipping,"[6.7984, 3.3715, 11.0215, 3.3765, 11.0215, 3.5134, 6.7984, 3.5084]","[{'offset': 6076, 'length': 80}]"
45,"Act, 1951 (Act No. 57 of 1951), the length shown in the licence.","[6.8035, 3.5337, 10.0177, 3.5286, 10.0177, 3.6706000000000003, 6.8035, 3.6706000000000003]","[{'offset': 6157, 'length': 64}]"
46,"""master"" means any person, other than a pilot, having charge or command of a vessel or","[6.4182, 3.7618, 11.0215, 3.7618, 11.0215, 3.9089, 6.4182, 3.9089]","[{'offset': 6222, 'length': 86}]"
47,pleasure vessel.,"[6.4132, 3.9342, 7.2294, 3.9292, 7.2294, 4.0508, 6.4182, 4.0559]","[{'offset': 6309, 'length': 16}]"
48,"""ISO container"" means a freight container with the specifications prescribed by the Inter-","[6.4233, 4.1472, 11.0114, 4.1573, 11.0114, 4.2993, 6.4233, 4.2891]","[{'offset': 6326, 'length': 90}]"
49,national Organization for Standardisation.,"[6.4132, 4.3145, 8.5475, 4.3145, 8.5475, 4.4463, 6.4132, 4.4513]","[{'offset': 6417, 'length': 42}]"
50,"""owner"" means any person to whom a vessel or pleasure vessel or a share in a vessel or","[6.4182, 4.5477, 11.0215, 4.5477, 11.0215, 4.6846, 6.4182, 4.6846]","[{'offset': 6460, 'length': 86}]"
51,"pleasure vessel belongs or any other organisation or person, such as the manager or char-","[6.4132, 4.6998, 11.0114, 4.6998, 11.0114, 4.8367, 6.4132, 4.8417]","[{'offset': 6547, 'length': 89}]"
52,"terer, who has assumed the responsibility for the operation of the vessel or pleasure ves-","[6.4132, 4.8468, 11.0215, 4.8468, 11.0215, 4.9888, 6.4132, 4.9888]","[{'offset': 6637, 'length': 90}]"
53,sel from the owner of the vessel or pleasure vessel.,"[6.4132, 5.004, 9.0342, 5.004, 9.0342, 5.1459, 6.4132, 5.1408]","[{'offset': 6728, 'length': 52}]"
54,"""passenger"" means any person carried in a vessel, except:","[6.4182, 5.2372, 9.3586, 5.2372, 9.3586, 5.3791, 6.4182, 5.3791]","[{'offset': 6781, 'length': 57}]"
55,i),"[6.4233, 5.3994, 6.4993, 5.3994, 6.4993, 5.5262, 6.4284, 5.5211]","[{'offset': 6839, 'length': 2}]"
56,a person employed or engaged in any capacity on board a vessel on the business,"[6.7984, 5.3994, 11.0215, 5.3893, 11.0215, 5.5312, 6.7984, 5.5414]","[{'offset': 6842, 'length': 78}]"
57,of the vessel;,"[6.7984, 5.5464, 7.493, 5.5464, 7.493, 5.6783, 6.7984, 5.6732]","[{'offset': 6921, 'length': 14}]"
58,ii),"[6.4182, 5.7036, 6.5145, 5.7036, 6.5145, 5.8304, 6.4182, 5.8304]","[{'offset': 6936, 'length': 3}]"
59,a person on board the vessel either in pursuance of the obligation laid upon the,"[6.7984, 5.6985, 11.0215, 5.6935, 11.0215, 5.8405000000000005, 6.7984, 5.8456]","[{'offset': 6940, 'length': 80}]"
60,"master to carry shipwrecked, distressed or other persons or by reason of any cir-","[6.8086, 5.8506, 11.0215, 5.8456, 11.0215, 5.9926, 6.8086, 5.9977]","[{'offset': 7021, 'length': 81}]"
61,cumstance that neither the master nor the owner nor the charterer (if any) could,"[6.7984, 6.0027, 11.0215, 6.0027, 11.0215, 6.1447, 6.7984, 6.1447]","[{'offset': 7103, 'length': 80}]"
62,have prevented; and,"[6.8086, 6.1599, 7.8783, 6.1599, 7.8783, 6.2968, 6.8086, 6.2968]","[{'offset': 7184, 'length': 19}]"
63,iii,"[6.4233, 6.312, 6.5298, 6.312, 6.5298, 6.4438, 6.4233, 6.4387]","[{'offset': 7204, 'length': 3}]"
64,a child under one year of age.,"[6.7984, 6.312, 8.3143, 6.312, 8.3143, 6.4489, 6.7984, 6.4489]","[{'offset': 7208, 'length': 30}]"
65,"""area of jurisdiction"" means the area within which Transnet has jurisdiction at the respec-","[6.4132, 6.5401, 11.0215, 6.5452, 11.0215, 6.6922, 6.4132, 6.6872]","[{'offset': 7239, 'length': 91}]"
66,tive ports as appearing in the Port Regulations.,"[6.4081, 6.7024, 8.806000000000001, 6.7024, 8.806000000000001, 6.8393, 6.4081, 6.8443000000000005]","[{'offset': 7331, 'length': 48}]"
67,"""Port Regulations"" means the Regulations that the Minister of Transport promulgated in","[6.4081, 6.9305, 11.0266, 6.9356, 11.0266, 7.0775, 6.4081, 7.0725]","[{'offset': 7380, 'length': 86}]"
68,"the Government Gazette, 23 November 2007.","[6.4081, 7.0927, 8.7503, 7.0927, 8.7503, 7.2246, 6.4081, 7.2246]","[{'offset': 7467, 'length': 41}]"
69,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7924, 3.0925, 7.9496, 0.5982000000000001, 7.9597]","[{'offset': 7509, 'length': 33}]"
70,Tariff Book April 2024 - March 2025,"[6.4588, 7.7873, 8.9683, 7.7873, 8.9683, 7.9394, 6.4588, 7.9445]","[{'offset': 7543, 'length': 35}]"
71,06,"[10.8288, 7.7924, 11.0266, 7.7975, 11.0266, 7.9242, 10.8339, 7.9242]","[{'offset': 7579, 'length': 2}]"
0,07,"[5.0139, 7.8025, 5.2116, 7.8025, 5.2066, 7.9394, 5.0139, 7.9293]","[{'offset': 7582, 'length': 2}]"
1,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6971, 0.5628000000000001, 9.6578, 0.5628000000000001, 9.6578, 0.6946, 6.6971, 0.6996]","[{'offset': 7585, 'length': 60}]"
2,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8111, 0.5678000000000001, 3.7617000000000003, 0.5628000000000001, 3.7617000000000003, 0.6946, 0.8111, 0.6996]","[{'offset': 7646, 'length': 60}]"
3,"""Port Rules"" are the rules that the Authority may, with the approval of the Minister of","[0.6084, 1.2218, 5.2015, 1.2218, 5.2015, 1.3689, 0.6084, 1.3638]","[{'offset': 7707, 'length': 87}]"
4,"Transport, adopt in terms of Section 80(2) of the Act.","[0.6084, 1.379, 3.3105, 1.379, 3.3105, 1.5108000000000001, 0.6084, 1.5159]","[{'offset': 7795, 'length': 54}]"
5,"""Republic"" means the Republic of South Africa.","[0.6033000000000001, 1.6122, 3.0114, 1.6122, 3.0114, 1.7542, 0.6033000000000001, 1.7490999999999999]","[{'offset': 7850, 'length': 46}]"
6,"""Revenue Office"" means the Authority's Revenue Office.","[0.6134000000000001, 1.8454000000000002, 3.4981, 1.8556, 3.4981, 1.9874, 0.6134000000000001, 1.9823]","[{'offset': 7897, 'length': 54}]"
7,"""SAMSA"" means the South African Maritime Safety Authority, established as a juristic","[0.6134000000000001, 2.0837, 5.1964, 2.0837, 5.1964, 2.2257, 0.6134000000000001, 2.2206]","[{'offset': 7952, 'length': 84}]"
8,person by virtue of section 2(1) of the South African Maritime Safety Authority Act No. 5,"[0.6134000000000001, 2.246, 5.2015, 2.2409, 5.2015, 2.3828, 0.6134000000000001, 2.3879]","[{'offset': 8037, 'length': 89}]"
9,of 1998.,"[0.6084, 2.393, 1.0444, 2.393, 1.0444, 2.5248, 0.6084, 2.5299]","[{'offset': 8127, 'length': 8}]"
10,"""shift"" means the movement of a vessel from one place in the port to another, and","[0.6134000000000001, 2.6262, 5.1914, 2.6313, 5.1914, 2.7782999999999998, 0.6134000000000001, 2.7681]","[{'offset': 8136, 'length': 81}]"
11,"""shifting"" bears a corresponding meaning.","[0.6185, 2.7884, 2.7478, 2.7884, 2.7478, 2.9304, 0.6185, 2.9253]","[{'offset': 8218, 'length': 41}]"
12,"""small vessel"" means a commercial small vessel that:","[0.6084, 3.0216, 3.3308, 3.0216, 3.3308, 3.1636, 0.6084, 3.1636]","[{'offset': 8260, 'length': 52}]"
13,i),"[0.6185, 3.1737, 0.6895, 3.1737, 0.6895, 3.3056, 0.6185, 3.3005]","[{'offset': 8313, 'length': 2}]"
14,is registered in the Republic;,"[0.9987, 3.1737, 2.4537, 3.1737, 2.4588, 3.3106, 0.9987, 3.3106]","[{'offset': 8316, 'length': 30}]"
15,ii),"[0.6286, 3.336, 0.7047, 3.336, 0.7098, 3.4577, 0.6286, 3.4577]","[{'offset': 8347, 'length': 3}]"
16,"lies in, is used in or operates from a port; and","[0.9987, 3.3309, 3.3156, 3.3258, 3.3156, 3.4678, 0.9987, 3.4678]","[{'offset': 8351, 'length': 48}]"
17,iii),"[0.6185, 3.4881, 0.7351000000000001, 3.4881, 0.7351000000000001, 3.6097, 0.6185, 3.6047000000000002]","[{'offset': 8400, 'length': 4}]"
18,"includes a tug, fishing vessel, launch, barge, lighter, rowing boat, ski boat, sailing","[0.9937, 3.483, 5.2015, 3.483, 5.2015, 3.625, 0.9937, 3.6199]","[{'offset': 8405, 'length': 86}]"
19,"boat, yacht or similar vessel, or a hulk of any of the vessels enumerated, but ex-","[1.0038, 3.63, 5.1812, 3.63, 5.1812, 3.7720000000000002, 1.0038, 3.7720000000000002]","[{'offset': 8492, 'length': 82}]"
20,cludes a pleasure vessel.,"[0.9987, 3.7821, 2.2611, 3.7821, 2.2611, 3.9241, 0.9987, 3.9241]","[{'offset': 8575, 'length': 25}]"
21,"""tanker"" means a vessel designed to carry liquid cargo in bulk, including a combination","[0.6134000000000001, 4.0204, 5.1964, 4.0255, 5.1964, 4.1624, 0.6134000000000001, 4.1624]","[{'offset': 8601, 'length': 87}]"
22,carrier being used for this purpose.,"[0.6185, 4.1826, 2.403, 4.1826, 2.403, 4.3195, 0.6185, 4.3145]","[{'offset': 8689, 'length': 36}]"
23,"""Tariff Book"" means the Tariff Book contemplated in section 72 of the Act.","[0.6134000000000001, 4.4159, 4.4005, 4.4159, 4.4005, 4.5527, 0.6134000000000001, 4.5477]","[{'offset': 8726, 'length': 74}]"
24,"""Transhipment"" means an act of off-loading cargo from one ship (generally at the hub","[0.6185, 4.644, 5.1964, 4.644, 5.1964, 4.786, 0.6185, 4.786]","[{'offset': 8801, 'length': 84}]"
25,port) and loading it onto another ship to be further carried to the final port of discharge,"[0.6134000000000001, 4.8012, 5.1964, 4.7961, 5.1964, 4.9381, 0.6134000000000001, 4.9381]","[{'offset': 8886, 'length': 91}]"
26,outside SA ports.,"[0.6134000000000001, 4.9583, 1.4854, 4.9583, 1.4854, 5.0851, 0.6134000000000001, 5.0851]","[{'offset': 8978, 'length': 17}]"
27,"""Transnet"" means Transnet SOC(Ltd) registration No. 1990/00900/30.","[0.6134000000000001, 5.1865, 4.1724, 5.1865, 4.1724, 5.3284, 0.6134000000000001, 5.3284]","[{'offset': 8996, 'length': 66}]"
